orf_name,name,chr,start,stop,length,strand,orf_class,ontology,TSS,PAS,half_life,coverage
YAL026C,DRS2,1,95630,99697,4068,-,Verified,"GO:0000028,GO:0004012,GO:0005802,GO:0006886,GO:0006892,GO:0006897,GO:0045332",99784,95483.0,10.455,0.9115
YAL025C,MAK16,1,100225,101145,921,-,Verified,"GO:0000463,GO:0000466,GO:0003674,GO:0005730,GO:0030687,GO:0042273",101169,100023.0,5.76333333333,0.9035
YAL024C,LTE1,1,101565,105872,4308,-,Verified,"GO:0005085,GO:0005933,GO:0007096,GO:0016192,GO:0031578",105977,101372.0,12.236666666700001,0.9305
YAL023C,PMT2,1,106272,108551,2280,-,Verified,"GO:0004169,GO:0005783,GO:0006493,GO:0031502,GO:0032527,GO:0071712",108640,106144.0,20.77,0.968
YAL022C,FUN26,1,108877,110430,1554,-,Verified,"GO:0005337,GO:0005622,GO:0015858,GO:0016020,GO:0055085",110447,108836.0,17.0066666667,0.97
YAL021C,CCR4,1,110846,113359,2514,-,Verified,"GO:0000076,GO:0000175,GO:0000288,GO:0000289,GO:0000932,GO:0005737,GO:0006260,GO:0006357,GO:0006368,GO:0007089,GO:0016593,GO:0030015,GO:0048478",113404,110617.0,32.0,0.88
YAL020C,ATS1,1,113614,114615,1002,-,Verified,"GO:0000226,GO:0002098,GO:0003674,GO:0005737,GO:0007017,GO:0007117",114631,113538.0,9.88,0.8985
YAL019W,FUN30,1,114919,118314,3396,+,Verified,"GO:0000183,GO:0003677,GO:0003682,GO:0005634,GO:0005739,GO:0006348,GO:0008094,GO:0030466,GO:0031934,GO:0042803,GO:0051276",114810,118387.0,11.37,0.898
YAL017W,PSK1,1,120225,124295,4071,+,Verified,"GO:0004674,GO:0005737,GO:0006468,GO:0045719,GO:0060917",119859,124460.0,40.04,0.9285
YAL016W,TPD3,1,124879,126786,1908,+,Verified,"GO:0000159,GO:0004722,GO:0005634,GO:0005737,GO:0005816,GO:0005934,GO:0005935,GO:0006417,GO:0006470,GO:0007015,GO:0007094,GO:0007117,GO:0043332",124799,126876.0,30.7266666667,0.946
YAL014C,SYN8,1,128252,129019,768,-,Verified,"GO:0005484,GO:0005768,GO:0006810",129068,128092.0,9.415,0.9575
YAL013W,DEP1,1,129270,130487,1218,+,Verified,"GO:0004407,GO:0005634,GO:0006357,GO:0006644,GO:0016575,GO:0030174,GO:0030528,GO:0031939,GO:0033698,GO:0070210",129237,130584.0,12.87,0.968
YAL012W,CYS3,1,130799,131983,1185,+,Verified,"GO:0000096,GO:0004123,GO:0005737,GO:0006534,GO:0019343,GO:0019344,GO:0019346",130745,132083.0,38.623333333299996,0.9925
YAL011W,SWC3,1,132199,134076,1878,+,Verified,"GO:0000812,GO:0003674,GO:0005634,GO:0005739,GO:0006338,GO:0007029,GO:0043486",132196,134179.0,13.68,0.985
YAL010C,MDM10,1,134184,135665,1482,-,Verified,"GO:0000001,GO:0000002,GO:0001401,GO:0003674,GO:0005741,GO:0007005,GO:0015914,GO:0032865,GO:0045040,GO:0070096",135707,134137.0,12.7166666667,0.9555
YAL009W,SPO7,1,135854,136633,780,+,Verified,"GO:0004721,GO:0006998,GO:0007126,GO:0016021,GO:0030437,GO:0042175,GO:0071071",135814,136781.0,17.4633333333,0.9575
YAL008W,FUN14,1,136914,137510,597,+,Verified,"GO:0003674,GO:0005739,GO:0005741,GO:0008150",136867,137638.0,30.3266666667,0.988
YAL007C,ERP2,1,137698,138345,648,-,Verified,"GO:0003674,GO:0006888,GO:0030134",138421,137523.0,26.5133333333,0.988
YAL003W,EFB1,1,142174,143160,987,+,Verified,"GO:0003746,GO:0005085,GO:0005840,GO:0005853,GO:0006414",142154,143369.0,40.43,0.9995
YAL002W,VPS8,1,143707,147531,3825,+,Verified,"GO:0003674,GO:0005624,GO:0033263,GO:0045324",143552,147566.0,25.055,0.9955
YAL001C,TFC3,1,147594,151166,3573,-,Verified,"GO:0000127,GO:0000799,GO:0003709,GO:0005739,GO:0006384,GO:0071168",151205,147540.0,15.3833333333,0.9415
YAR002W,NUP60,1,152257,153876,1620,+,Verified,"GO:0000059,GO:0005643,GO:0006913,GO:0008298,GO:0016973,GO:0017056",152216,153963.0,15.47,0.931
YAR002C-A,ERP1,1,154065,154724,660,-,Verified,"GO:0003674,GO:0005739,GO:0006888,GO:0030134",154741,153990.0,40.4966666667,0.9685
YAR003W,SWD1,1,155005,156285,1281,+,Verified,"GO:0000723,GO:0006348,GO:0006355,GO:0042800,GO:0048188,GO:0051568",154952,,11.5,0.9675
YAR007C,RFA1,1,156754,158619,1866,-,Verified,"GO:0000722,GO:0000724,GO:0000781,GO:0000794,GO:0003690,GO:0003697,GO:0005662,GO:0005737,GO:0006260,GO:0006268,GO:0006281,GO:0006289,GO:0006312,GO:0007004,GO:0007131,GO:0016567,GO:0030491,GO:0043565,GO:0045184",158683,156682.0,20.6833333333,0.9445
YAR008W,SEN34,1,158966,159793,828,+,Verified,"GO:0000213,GO:0000214,GO:0000379,GO:0005739,GO:0005741",158869,159861.0,12.253333333299999,0.9475
YAR014C,BUD14,1,166742,168871,2130,-,Verified,"GO:0000131,GO:0000903,GO:0005934,GO:0005935,GO:0006355,GO:0007010,GO:0008599,GO:0030837,GO:0032880",169022,166558.0,21.363333333299998,0.907
YAR015W,ADE1,1,169375,170295,921,+,Verified,"GO:0004639,GO:0005634,GO:0005737,GO:0006164,GO:0006189",169273,170391.0,24.8,0.91
YAR018C,KIN3,1,170396,171703,1308,-,Verified,"GO:0004672,GO:0005575,GO:0007059",171720,170264.0,15.5633333333,0.9555
YAR028W,YAR028W,1,184892,185596,705,+,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150",184837,185795.0,21.905,0.971
YAR031W,PRM9,1,186836,187732,897,+,Verified,"GO:0003674,GO:0005783,GO:0005886,GO:0016021,GO:0016050",186998,187890.0,72.3633333333,0.9105
YAR042W,SWH1,1,192619,196185,3567,+,Verified,"GO:0000138,GO:0005545,GO:0005635,GO:0005769,GO:0005783,GO:0006887,GO:0006897,GO:0008142,GO:0008289,GO:0015248,GO:0015918,GO:0030011",192596,196419.0,18.175,0.914
YBL107C,YBL107C,2,9961,10551,591,-,Uncharacterized,"GO:0003674,GO:0005737,GO:0008150",10552,9819.0,11.156666666700001,0.967
YBL106C,SRO77,2,10847,13879,3033,-,Verified,"GO:0003674,GO:0005886,GO:0006887,GO:0006893",13947,10774.0,50.0,0.992
YBL105C,PKC1,2,14241,17696,3456,-,Verified,"GO:0001950,GO:0004697,GO:0005634,GO:0005737,GO:0005856,GO:0006468,GO:0007015,GO:0007165,GO:0007243,GO:0030242,GO:0030427,GO:0031505",17967,14105.0,19.3233333333,0.925
YBL104C,YBL104C,2,18177,21293,3117,-,Uncharacterized,"GO:0003674,GO:0005737,GO:0008150",21299,18095.0,13.586666666700001,0.947
YBL103C,RTG3,2,22076,23536,1461,-,Verified,"GO:0003704,GO:0005634,GO:0005737,GO:0006367,GO:0031930,GO:0043565",23791,21716.0,17.7566666667,0.9265
YBL102W,SFT2,2,24098,24745,648,+,Verified,"GO:0000139,GO:0003674,GO:0006895",24011,24939.0,25.4666666667,0.9315
YBL101C,ECM21,2,24946,28299,3354,-,Verified,"GO:0005737,GO:0031505,GO:0031625,GO:0070086",28584,24811.0,27.945,0.996
YBL099W,ATP1,2,37053,38690,1638,+,Verified,"GO:0005739,GO:0005754,GO:0015986,GO:0016887,GO:0042645,GO:0045261,GO:0046933,GO:0046961",36767,38923.0,41.8166666667,0.866
YBL098W,BNA4,2,39145,40527,1383,+,Verified,"GO:0004502,GO:0005739,GO:0005741,GO:0034354",39126,40645.0,54.88,0.988
YBL097W,BRN1,2,40831,43095,2265,+,Verified,"GO:0000070,GO:0000799,GO:0003674,GO:0005634,GO:0007076,GO:0032116,GO:0070058",40782,43309.0,18.15,0.916
YBL093C,ROX3,2,44256,44918,663,-,Verified,"GO:0005634,GO:0006366,GO:0016455,GO:0016592,GO:0045944",44999,44040.0,21.3066666667,0.9835
YBL092W,RPL32,2,45645,46370,726,+,Verified,"GO:0003735,GO:0006412,GO:0022625",45583,46518.0,23.5033333333,0.987
YBL091C-A,SCS22,2,46565,47180,616,-,Verified,"GO:0003674,GO:0005575,GO:0006348,GO:0008654",47194,46560.0,27.1766666667,0.9425
YBL091C,MAP2,2,47363,48628,1266,-,Verified,"GO:0005737,GO:0035551,GO:0070006",48660,47274.0,36.2933333333,0.9395
YBL090W,MRP21,2,48825,49358,534,+,Verified,"GO:0003735,GO:0005739,GO:0005763,GO:0032543,GO:0070124",48795,49478.0,16.1666666667,0.9375
YBL089W,AVT5,2,49574,50953,1380,+,Verified,"GO:0005215,GO:0005575,GO:0006810",49511,51262.0,16.543333333299998,0.9615
YBL088C,TEL1,2,51019,59382,8364,-,Verified,"GO:0000723,GO:0004672,GO:0005634,GO:0005739,GO:0006302,GO:0006974,GO:0006975,GO:0016310,GO:0016572,GO:0042162",59439,50936.0,18.2733333333,0.9715
YBL087C,RPL23A,2,59822,60739,918,-,Verified,"GO:0003735,GO:0006412,GO:0022625",60763,59723.0,28.4066666667,0.977
YBL086C,YBL086C,2,61202,62602,1401,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150",62727,61156.0,31.845,0.956
YBL085W,BOI1,2,63876,66818,2943,+,Verified,"GO:0005543,GO:0005933,GO:0005935,GO:0007109,GO:0007118,GO:0007266,GO:0030010,GO:0030427,GO:0043332",63662,66930.0,15.7333333333,0.9755
YBL084C,CDC27,2,67169,69445,2277,-,Verified,"GO:0000022,GO:0000070,GO:0004842,GO:0005680,GO:0007091,GO:0008054,GO:0016567,GO:0031145",69544,66924.0,23.1766666667,0.9045
YBL082C,ALG3,2,69751,71127,1377,-,Verified,"GO:0000033,GO:0005783,GO:0006486,GO:0006490",71410,69659.0,12.045,0.928
YBL081W,YBL081W,2,71866,72972,1107,+,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150",71553,73031.0,7.985,0.9215
YBL080C,PET112,2,73070,74695,1626,-,Verified,"GO:0005739,GO:0030956,GO:0032543,GO:0050567,GO:0070681",74779,72966.0,18.5,0.9375
YBL079W,NUP170,2,75259,79767,4509,+,Verified,"GO:0000059,GO:0005198,GO:0005643,GO:0006406,GO:0006407,GO:0006408,GO:0006409,GO:0006607,GO:0006608,GO:0006609,GO:0006610,GO:0006611,GO:0006612,GO:0006999,GO:0007059,GO:0031015,GO:0051292",75207,79853.0,16.8566666667,0.9445
YBL076C,ILS1,2,81043,84261,3219,-,Verified,"GO:0004822,GO:0005829,GO:0006412,GO:0006428",84270,80948.0,30.473333333299998,0.927
YBL074C,AAR2,2,86722,87789,1068,-,Verified,"GO:0000244,GO:0003674,GO:0005682",87804,,9.2,0.8975
YBL069W,AST1,2,90741,92030,1290,+,Verified,"GO:0003674,GO:0006612,GO:0019898",90670,92112.0,6.49,0.953
YBL068W,PRS4,2,92414,93394,981,+,Verified,"GO:0004749,GO:0005737,GO:0006015,GO:0031505",92366,93484.0,11.8666666667,0.9655
YBL067C,UBP13,2,93639,95882,2244,-,Verified,"GO:0004843,GO:0005575,GO:0008150",96170,93524.0,14.736666666700001,0.9245
YBL066C,SEF1,2,96669,100115,3447,-,Verified,"GO:0003674,GO:0005575,GO:0008150",99054,96489.0,58.0,0.962
YBL064C,PRX1,2,100371,101156,786,-,Verified,"GO:0005739,GO:0008379,GO:0034599,GO:0045454,GO:0046686",101225,100300.0,63.865,0.968
YBL063W,KIP1,2,101886,105221,3336,+,Verified,"GO:0000070,GO:0000073,GO:0000092,GO:0003777,GO:0005200,GO:0005816,GO:0005871,GO:0005876,GO:0007019,GO:0030541",101887,105318.0,10.145,0.967
YBL061C,SKT5,2,105316,107406,2091,-,Verified,"GO:0000131,GO:0000144,GO:0000910,GO:0005935,GO:0006970,GO:0008047,GO:0034221",107511,105214.0,19.8933333333,0.9525
YBL060W,YEL1,2,107932,109995,2064,+,Verified,"GO:0005086,GO:0005737,GO:0005934,GO:0005935,GO:0008104,GO:0010513,GO:0051666",107871,110040.0,21.0,0.9515
YBL059W,YBL059W,2,110594,111244,651,+,Uncharacterized,"GO:0003674,GO:0005739,GO:0008150",110675,111317.0,20.115,0.93
YBL058W,SHP1,2,111437,112708,1272,+,Verified,"GO:0000045,GO:0005634,GO:0005737,GO:0005977,GO:0008599,GO:0030437,GO:0031134,GO:0034727,GO:0043161",111397,112826.0,26.0033333333,0.918
YBL057C,PTH2,2,112801,113427,627,-,Verified,"GO:0004045,GO:0005737,GO:0005739,GO:0005741,GO:0032435",113448,112735.0,22.293333333299998,0.938
YBL056W,PTC3,2,113762,115168,1407,+,Verified,"GO:0000079,GO:0000173,GO:0004722,GO:0005634,GO:0005737,GO:0006470",113683,115536.0,19.9233333333,0.9375
YBL055C,YBL055C,2,115573,116829,1257,-,Verified,"GO:0004519,GO:0005737,GO:0006309,GO:0008296,GO:0034599",116816,115480.0,18.18,0.9535
YBL054W,TOD6,2,117589,119166,1578,+,Verified,"GO:0005634,GO:0005737,GO:0006357,GO:0033698,GO:0043565,GO:0070210",117479,119312.0,6.5,0.9605
YBL052C,SAS3,2,119379,121874,2496,-,Verified,"GO:0004402,GO:0006348,GO:0016568,GO:0016573,GO:0030466,GO:0033100",122063,119311.0,13.2033333333,0.926
YBL051C,PIN4,2,122753,124759,2007,-,Verified,"GO:0000077,GO:0000086,GO:0003674,GO:0005737",124823,122604.0,25.66,0.9045
YBL050W,SEC17,2,125125,126119,995,+,Verified,"GO:0000300,GO:0001671,GO:0005483,GO:0005829,GO:0006914,GO:0031201,GO:0035494,GO:0042144,GO:0048280",125059,126187.0,26.473333333299998,0.912
YBL047C,EDE1,2,127895,132040,4146,-,Verified,"GO:0005934,GO:0005935,GO:0006897,GO:0030479,GO:0030968,GO:0043130,GO:0043332",132212,127752.0,34.375,0.942
YBL046W,PSY4,2,132424,133749,1326,+,Verified,"GO:0005634,GO:0005737,GO:0006470,GO:0019888,GO:0042493",132417,133932.0,21.21,0.941
YBL045C,COR1,2,134143,135516,1374,-,Verified,"GO:0005739,GO:0005750,GO:0008121,GO:0009060",135641,133841.0,37.7833333333,0.991
YBL043W,ECM13,2,136688,137461,774,+,Verified,"GO:0003674,GO:0005575,GO:0031505",136556,137645.0,15.0,0.9965
YBL042C,FUI1,2,138341,140260,1920,-,Verified,"GO:0005886,GO:0015213,GO:0015862,GO:0055085",140317,138151.0,5.783333333330001,0.996
YBL041W,PRE7,2,141247,141972,726,+,Verified,"GO:0003674,GO:0005634,GO:0005789,GO:0010499,GO:0019774,GO:0034515,GO:0043161",141217,142029.0,24.5366666667,0.991
YBL040C,ERD2,2,142112,142868,757,-,Verified,"GO:0006621,GO:0006888,GO:0030176,GO:0045015",142901,142013.0,24.8366666667,0.9745
YBL039C,URA7,2,143989,145728,1740,-,Verified,"GO:0003883,GO:0005829,GO:0006241,GO:0008654,GO:0019856",145783,143808.0,13.8133333333,0.9195
YBL038W,MRPL16,2,146187,146885,699,+,Verified,"GO:0000048,GO:0003735,GO:0005739,GO:0005762,GO:0032543",146131,146948.0,19.113333333299998,0.9235
YBL037W,APL3,2,147209,150286,3078,+,Verified,"GO:0003674,GO:0016192,GO:0030122",147130,150404.0,18.495,0.9465
YBL036C,YBL036C,2,150447,151220,774,-,Verified,"GO:0005575,GO:0008150,GO:0030170",151270,150302.0,21.883333333299998,0.9575
YBL035C,POL12,2,151493,153610,2118,-,Verified,"GO:0003887,GO:0005634,GO:0005635,GO:0005658,GO:0006270,GO:0006273,GO:0016233",153689,151383.0,15.903333333299999,0.941
YBL034C,STU1,2,153848,158389,4542,-,Verified,"GO:0005200,GO:0005816,GO:0007020",158216,153699.0,8.63,0.943
YBL033C,RIB1,2,158656,159693,1038,-,Verified,"GO:0005634,GO:0005737,GO:0009231,GO:0019238",159710,158490.0,16.1033333333,0.9435
YBL032W,HEK2,2,160184,161329,1146,+,Verified,"GO:0000784,GO:0000932,GO:0003729,GO:0005737,GO:0007004,GO:0008298,GO:0048255",160095,161533.0,14.87,0.9385
YBL031W,SHE1,2,161699,162715,1017,+,Verified,"GO:0000022,GO:0000235,GO:0003674,GO:0005819,GO:0005880,GO:0005935,GO:0015630",161666,162875.0,8.00666666667,0.91
YBL030C,PET9,2,163041,163997,957,-,Verified,"GO:0005471,GO:0005739,GO:0005743,GO:0006839,GO:0006915,GO:0009060,GO:0009061,GO:0015866,GO:0015867,GO:0015886,GO:0055085",164142,162742.0,32.56,0.978
YBL027W,RPL19B,2,168423,169376,954,+,Verified,"GO:0003735,GO:0006412,GO:0022625",168372,169461.0,31.8466666667,0.9475
YBL024W,NCL1,2,172534,174588,2055,+,Verified,"GO:0005634,GO:0016428,GO:0030488",172529,174709.0,12.816666666700002,0.9255
YBL023C,MCM2,2,174920,177526,2607,-,Verified,"GO:0000084,GO:0000727,GO:0003682,GO:0003688,GO:0003697,GO:0005634,GO:0005656,GO:0005737,GO:0006267,GO:0006271,GO:0031261,GO:0031298,GO:0042555",177612,174766.0,15.3,0.9755
YBL022C,PIM1,2,177874,181275,3402,-,Verified,"GO:0004176,GO:0005739,GO:0005759,GO:0006515,GO:0034619",181395,177799.0,36.9433333333,0.9735
YBL020W,RFT1,2,182401,184125,1725,+,Verified,"GO:0003674,GO:0005789,GO:0006487,GO:0034202,GO:0034203",182320,184215.0,14.4833333333,0.9675
YBL019W,APN2,2,184353,185915,1563,+,Verified,"GO:0003906,GO:0005634,GO:0006284,GO:0008081,GO:0008311",184302,186031.0,25.05,0.997
YBL017C,PEP1,2,186844,191583,4740,-,Verified,"GO:0005048,GO:0005794,GO:0006623,GO:0007034,GO:0030433",191765,186778.0,23.046666666700002,0.9795
YBL016W,FUS3,2,192451,193512,1062,+,Verified,"GO:0000750,GO:0001403,GO:0004707,GO:0005634,GO:0005737,GO:0005739,GO:0006468,GO:0007050,GO:0010526,GO:0043332,GO:0043409",192429,193648.0,20.686666666700003,0.983
YBL015W,ACH1,2,194122,195702,1581,+,Verified,"GO:0003986,GO:0005739,GO:0005829,GO:0006083,GO:0008775",194046,195737.0,29.69,0.995
YBL014C,RRN6,2,199064,201748,2685,-,Verified,"GO:0003701,GO:0006360,GO:0006361,GO:0010843,GO:0042790,GO:0070860",201778,198948.0,8.28,0.947
YBL011W,SCT1,2,203538,205817,2280,+,Verified,"GO:0004366,GO:0005783,GO:0005792,GO:0008654,GO:0016287",203438,206020.0,11.916666666700001,0.975
YBL010C,YBL010C,2,206107,206949,843,-,Uncharacterized,"GO:0003674,GO:0008150,GO:0030136",206944,205965.0,18.865,0.932
YBL009W,ALK2,2,207194,209224,2031,+,Verified,"GO:0004672,GO:0004674,GO:0005575,GO:0006468,GO:0007067,GO:0007126",207153,209339.0,3.7,0.9265
YBL006C,LDB7,2,216587,217129,543,-,Verified,"GO:0000032,GO:0006337,GO:0006368,GO:0008094,GO:0016586,GO:0043044",217134,216406.0,6.756666666669999,0.954
YBL005W,PDR3,2,217470,220400,2931,+,Verified,"GO:0000122,GO:0003704,GO:0005634,GO:0005737,GO:0016563,GO:0016564,GO:0042493,GO:0045944",217409,220686.0,16.2566666667,0.9595
YBR001C,NTH2,2,238941,241283,2343,-,Verified,"GO:0004555,GO:0005737,GO:0005739,GO:0005993",241432,238873.0,35.1833333333,0.98
YBR002C,RER2,2,241708,242568,861,-,Verified,"GO:0004659,GO:0005783,GO:0006486,GO:0006888,GO:0019408,GO:0045547",242590,241600.0,7.416666666669999,0.939
YBR003W,COQ1,2,242809,244230,1422,+,Verified,"GO:0000010,GO:0005739,GO:0006744",242781,244361.0,20.74,0.9415
YBR004C,GPI18,2,244366,245667,1302,-,Verified,"GO:0000030,GO:0004584,GO:0005739,GO:0005783,GO:0006506,GO:0030176,GO:0031501",245684,244274.0,16.92,0.9965
YBR005W,RCR1,2,245906,246547,642,+,Verified,"GO:0003674,GO:0016192,GO:0030176,GO:0031505",245872,246732.0,21.043333333299998,0.9965
YBR006W,UGA2,2,247010,248503,1494,+,Verified,"GO:0005737,GO:0006540,GO:0009013,GO:0009450,GO:0034599",246885,248646.0,33.5766666667,0.9945
YBR007C,DSF2,2,248806,251016,2211,-,Uncharacterized,"GO:0003674,GO:0005575,GO:0008150",251107,248624.0,19.563333333299997,0.9965
YBR008C,FLR1,2,252563,254209,1647,-,Verified,"GO:0005886,GO:0006855,GO:0015238,GO:0015244,GO:0055085",254428,252543.0,20.1733333333,0.987
YBR014C,GRX7,2,266725,267336,612,-,Verified,"GO:0000324,GO:0004362,GO:0005794,GO:0005796,GO:0005801,GO:0016021,GO:0034599,GO:0042803",267397,266530.0,21.3,0.9905
YBR017C,KAP104,2,270947,273703,2757,-,Verified,"GO:0005829,GO:0005934,GO:0005935,GO:0006606,GO:0006609,GO:0007049,GO:0008139,GO:0042991",273756,270774.0,22.06,0.924
YBR021W,FUR4,2,281443,283344,1902,+,Verified,"GO:0005886,GO:0015505,GO:0015857,GO:0045121,GO:0055085",281326,283435.0,8.1,0.9415
YBR022W,POA1,2,283738,284271,534,+,Verified,"GO:0005575,GO:0006388,GO:0016791",283677,284427.0,21.36,0.9985
YBR023C,CHS3,2,284428,287925,3498,-,Verified,"GO:0000131,GO:0000910,GO:0004100,GO:0005628,GO:0005737,GO:0005935,GO:0030476,GO:0034221,GO:0043332,GO:0045009",288075,284301.0,25.25,0.956
YBR024W,SCO2,2,289445,290350,906,+,Verified,"GO:0005739,GO:0005740,GO:0006825,GO:0008379",289354,290581.0,26.35,0.9825
YBR025C,OLA1,2,290681,291865,1185,-,Verified,"GO:0005737,GO:0008150,GO:0016887",291887,290478.0,28.5333333333,0.9775
YBR026C,ETR1,2,292877,294019,1143,-,Verified,"GO:0005739,GO:0006633,GO:0009060,GO:0016631",294041,292762.0,40.35,0.983
YBR028C,YBR028C,2,294425,296002,1578,-,Uncharacterized,"GO:0004672,GO:0005737,GO:0008150",296103,294250.0,5.685,0.9655
YBR029C,CDS1,2,296369,297742,1374,-,Verified,"GO:0004605,GO:0005739,GO:0005783,GO:0006655,GO:0006658",297823,296242.0,10.0733333333,0.9355
YBR030W,RKM3,2,298292,299950,1659,+,Verified,"GO:0005634,GO:0016279,GO:0018026",298022,300120.0,6.84,0.9205
YBR034C,HMT1,2,304930,305976,1047,-,Verified,"GO:0005634,GO:0006406,GO:0018216,GO:0035241,GO:0035242,GO:0060567,GO:0090040",305991,304741.0,8.44666666667,0.921
YBR035C,PDX3,2,306269,306955,687,-,Verified,"GO:0004733,GO:0005575,GO:0006631",306983,306171.0,31.133333333299998,0.901
YBR036C,CSG2,2,309081,310313,1233,-,Verified,"GO:0006688,GO:0006874,GO:0030176,GO:0030234",310362,308888.0,22.866666666700002,0.909
YBR037C,SCO1,2,310565,311452,888,-,Verified,"GO:0005507,GO:0005739,GO:0005743,GO:0006461,GO:0006825,GO:0008379,GO:0051775",311494,310496.0,7.015,0.9045
